Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
10.375237941741943	0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	30049
20.390678882598877	1	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	60098
32.581851959228516	2	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	90147
43.17373704910278	3	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	120196
53.74199199676514	4	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	150245
65.10889005661011	5	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	180294
75.14501595497131	6	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	210343
85.10933589935303	7	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	240392
94.94275403022766	8	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	270441
105.20971608161926	9	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	300490
115.3140549659729	10	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	330539
126.32946395874023	11	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	360588
135.8498558998108	12	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	390637
146.87581086158752	13	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	420686
157.53848481178284	14	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	450735
168.4348909854889	15	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	480784
178.9817750453949	16	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	510833
189.2178089618683	17	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	540882
200.76599216461182	18	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	570931
211.4915599822998	19	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	600980
221.8875629901886	20	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	631029
231.68709897994995	21	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	661078
241.20964908599854	22	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	691127
250.82917499542236	23	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	721176
260.26411509513855	24	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	751225
269.5523591041565	25	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	781274
279.1017770767212	26	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	811323
288.70755910873413	27	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	841372
298.0923149585724	28	0.055276383	0.77780753	11.0	0.0	151.0	0.0	0.00036606877	0.00036606877	0.00036606877	0.00036606877	30049	871421
307.59342885017395	29	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	901470
317.87807297706604	30	0.010050251	0.14141959	2.0	0.0	151.0	0.0	6.655796e-05	6.655796e-05	6.655796e-05	6.655796e-05	30049	931519
327.18682193756104	31	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	961568
336.7167778015137	32	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	30049	991617
346.306293964386	33	0.11557789	1.1995428	15.0	0.0	151.0	0.0	0.0007654165	0.0007654165	0.0007654165	0.0007654165	30049	1021666
355.6685380935669	34	0.3919598	1.7728083	15.0	0.0	151.0	0.0	0.0025957602	0.0025957602	0.0025957602	0.0025957602	30049	1051715
365.0856580734253	35	1.2311558	4.491962	30.0	0.0	151.0	0.0	0.008153349	0.008153349	0.008153349	0.008153349	30049	1081764
374.45696091651917	36	3.4924624	6.752531	31.0	0.0	151.0	0.0	0.02312889	0.02312889	0.02312889	0.02312889	30049	1111813
383.82216215133667	37	6.241206	8.037732	30.0	0.0	151.0	0.0	0.04133249	0.04133249	0.04133249	0.04133249	30049	1141862
393.1828918457031	38	6.839196	8.123684	37.0	0.0	151.0	0.0	0.04529269	0.04529269	0.04529269	0.04529269	30049	1171911
402.4691250324249	39	6.964824	8.110653	29.0	0.0	151.0	0.0	0.046124663	0.046124663	0.046124663	0.046124663	30049	1201960
411.9907338619232	40	7.874372	9.303876	37.0	0.0	151.0	0.0	0.05214816	0.05214816	0.05214816	0.05214816	30049	1232009
421.26851296424866	41	8.547739	9.837191	38.0	0.0	151.0	0.0	0.05660754	0.05660754	0.05660754	0.05660754	30049	1262058
430.5870838165283	42	7.7738695	9.207498	40.0	0.0	151.0	0.0	0.051482577	0.051482577	0.051482577	0.051482577	30049	1292107
439.90377593040466	43	5.5125628	8.385714	33.0	0.0	151.0	0.0	0.03650704	0.03650704	0.03650704	0.03650704	30049	1322156
