Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
4.398051977157593	0	-0.41354844	0.071945384	-0.2635132	-0.61326927	21.0	0.0	-0.019692782	-0.019692782	-0.01933959	-0.01933959	-0.6940018	0.036138806	0.00018226945	4.778962e-05	0.69402003	1008	1008
9.132498025894165	1	-0.4046041	0.082513	-0.2938333	-0.65609723	21.0	0.0	-0.019266862	-0.019266862	-0.018882418	-0.018882418	-0.696038	0.03750396	0.00012326478	0.000112013244	0.6960503	1008	2016
10.69045901298523	2	-0.4187839	0.070376195	-0.30053502	-0.5397877	21.0	0.0	-0.01994209	-0.01994209	-0.019857721	-0.019857721	-0.691403	0.02466147	0.00023342973	0.00023197825	0.6914263	1008	3024
12.372233152389526	3	-0.43849787	0.08820377	-0.29614916	-0.649026	21.0	0.0	-0.020880848	-0.020880848	-0.020774694	-0.020774694	-0.6916034	0.020633427	8.386946e-05	4.89659e-05	0.69161177	1008	4032
14.165308952331543	4	-0.41180575	0.08561541	-0.26174664	-0.6345541	21.0	0.0	-0.019609798	-0.019609798	-0.019712517	-0.019712517	-0.6947715	0.030203924	0.0003704643	0.00043919793	0.69480854	1008	5040
15.782780885696411	5	-0.4107472	0.09336913	-0.26642987	-0.6038555	21.0	0.0	-0.01955939	-0.01955939	-0.01969257	-0.01969257	-0.6917265	0.017222838	8.642295e-05	6.9510075e-05	0.69173515	1008	6048
17.331786155700684	6	-0.39962432	0.07807874	-0.22096165	-0.56711775	21.0	0.0	-0.01902973	-0.01902973	-0.018921481	-0.018921481	-0.69614327	0.023553511	0.00047187123	0.0007214935	0.6961904	1008	7056
19.09582495689392	7	-0.40742043	0.10205786	-0.16814491	-0.7374996	21.0	0.0	-0.019400973	-0.019400973	-0.019296722	-0.019296722	-0.69230294	0.026064605	0.00054041855	0.00057735614	0.69235694	1008	8064
20.84947896003723	8	-0.4194503	0.106391385	-0.22506207	-0.709309	21.0	0.0	-0.019973826	-0.019973826	-0.019576076	-0.019576076	-0.6922771	0.042777605	0.0070009846	0.008957535	0.69297713	1008	9072
22.791101932525635	9	-0.23978357	1.3956381	9.30905	-0.60089314	21.0	0.0	-0.011418267	-0.011418267	-0.010475509	-0.010475509	-0.6955278	0.07112158	0.030587254	0.044737507	0.69858646	1008	10080
24.60956597328186	10	-0.2452579	1.4017427	9.341957	-0.6592938	21.0	0.0	-0.011678946	-0.011678946	-0.011470629	-0.011470629	-0.69584024	0.03556693	0.0069124	0.008627784	0.69653153	1008	11088
26.092805862426758	11	-0.4503863	0.10116697	-0.27947503	-0.71557754	21.0	0.0	-0.021446966	-0.021446966	-0.021221858	-0.021221858	-0.6905783	0.032154534	0.0040116534	0.0045046997	0.6909795	1008	12096
27.529715061187744	12	-0.08018132	2.827583	19.292994	-0.7032935	21.0	0.0	-0.0038181609	-0.0038181609	0.0013437773	0.0013437773	-0.6395416	0.17558135	0.17230351	0.17619373	0.65677196	1008	13104
28.98831605911255	13	0.3329431	4.4592876	29.323935	-0.7369294	21.0	0.0	0.015854431	0.015854431	0.01913437	0.01913437	-0.6873124	0.14643833	0.08806053	0.1176384	0.6961185	1008	14112
30.48872208595276	14	2.8159688	10.202604	39.242355	-0.7570577	21.0	0.0	0.13409375	0.13409375	0.13749214	0.13749214	-0.6792953	0.16347432	0.13347955	0.1721541	0.69264317	1008	15120
31.97986388206482	15	3.213875	10.284568	49.358513	-0.7461072	21.0	0.0	0.15304169	0.15304169	0.16212803	0.16212803	-0.67445487	0.2634222	0.2952434	0.24304265	0.7039792	1008	16128
33.42207598686218	16	4.0252433	11.479179	39.386078	-0.7233931	21.0	0.0	0.19167824	0.19167824	0.2041721	0.2041721	-0.68663216	0.36723036	0.4114671	0.29120368	0.7277789	1008	17136
34.92271590232849	17	2.5327153	7.9067707	29.157665	-0.85292757	21.0	0.0	0.120605506	0.120605506	0.12863523	0.12863523	-0.61300796	0.29952666	0.3708706	0.32862204	0.650095	1008	18144
36.390636920928955	18	9.158757	16.432829	59.136467	-0.9236179	21.0	0.0	0.4361313	0.4361313	0.4470326	0.4470326	-0.65954745	0.3224259	0.34235883	0.2509066	0.6937833	1008	19152
37.859681844711304	19	12.050831	19.765787	79.28982	-0.90709114	21.0	0.0	0.573849	0.573849	0.58451736	0.58451736	-0.5881746	0.28746897	0.38149852	0.31045133	0.6263244	1008	20160
39.30126190185547	20	12.048958	20.70935	69.16427	-0.802523	21.0	0.0	0.57376	0.57376	0.58057505	0.58057505	-0.6814194	0.25132057	0.24128234	0.2197136	0.7055476	1008	21168
40.82279586791992	21	13.873067	18.754385	59.154778	-0.8553055	21.0	0.0	0.6606222	0.6606222	0.67526895	0.67526895	-0.53579056	0.29105684	0.42624348	0.27926302	0.5784149	1008	22176
42.33521294593811	22	15.138046	20.087063	68.958626	-1.2407547	21.0	0.0	0.72085935	0.72085935	0.7271955	0.7271955	-0.69061035	0.27041766	0.18496807	0.17181632	0.70910716	1008	23184
43.83020877838135	23	19.899626	25.493044	79.18651	-0.84270924	21.0	0.0	0.9476012	0.9476012	0.95114815	0.95114815	-0.648464	0.15431151	0.17775846	0.20303388	0.66623986	1008	24192
