Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
2.113420009613037	0	-0.42860222	0.087410815	-0.25177664	-0.6315052	21.0	0.0	-0.020409627	-0.020409627	-0.020409627	-0.020409627	1008	1008
2.9564130306243896	1	-0.40621194	0.08646017	-0.22220483	-0.6886099	21.0	0.0	-0.019343425	-0.019343425	-0.019343425	-0.019343425	1008	2016
3.2805120944976807	2	-0.4247186	0.09716772	-0.18958828	-0.6965616	21.0	0.0	-0.020224694	-0.020224694	-0.020224694	-0.020224694	1008	3024
3.601586103439331	3	-0.42531237	0.08139544	-0.24277154	-0.6204768	21.0	0.0	-0.02025297	-0.02025297	-0.02025297	-0.02025297	1008	4032
3.9374489784240723	4	-0.42432073	0.08551464	-0.26127875	-0.63786465	21.0	0.0	-0.020205747	-0.020205747	-0.020205747	-0.020205747	1008	5040
4.264094114303589	5	-0.39883736	0.069713004	-0.2897544	-0.56772083	21.0	0.0	-0.018992256	-0.018992256	-0.018992256	-0.018992256	1008	6048
4.600259065628052	6	-0.41671565	0.09981081	-0.1819223	-0.65596664	21.0	0.0	-0.019843603	-0.019843603	-0.019843603	-0.019843603	1008	7056
4.8785400390625	7	-0.40853426	0.09455051	-0.18967079	-0.637856	21.0	0.0	-0.019454012	-0.019454012	-0.019454012	-0.019454012	1008	8064
5.218613147735596	8	-0.4365376	0.11936111	-0.2517626	-0.7871651	21.0	0.0	-0.020787504	-0.020787504	-0.020787504	-0.020787504	1008	9072
5.59086012840271	9	-0.4513562	0.1051146	-0.21844141	-0.7364815	21.0	0.0	-0.021493154	-0.021493154	-0.021493154	-0.021493154	1008	10080
5.871499061584473	10	-0.43756828	0.10363574	-0.27382433	-0.7496619	21.0	0.0	-0.020836584	-0.020836584	-0.020836584	-0.020836584	1008	11088
6.159300088882446	11	-0.45078954	0.10245818	-0.2992528	-0.7046314	21.0	0.0	-0.021466168	-0.021466168	-0.021466168	-0.021466168	1008	12096
6.51943826675415	12	-0.4513429	0.09995519	-0.28529507	-0.78418	21.0	0.0	-0.021492518	-0.021492518	-0.021492518	-0.021492518	1008	13104
6.812486171722412	13	-0.52456886	0.11142498	-0.2669962	-0.7705447	21.0	0.0	-0.02497947	-0.02497947	-0.02497947	-0.02497947	1008	14112
7.126323938369751	14	0.95200235	5.729384	29.31229	-0.7897033	21.0	0.0	0.045333445	0.045333445	0.045333445	0.045333445	1008	15120
7.468229293823242	15	-0.3332225	1.4185418	9.358303	-0.8242906	21.0	0.0	-0.015867738	-0.015867738	-0.015867738	-0.015867738	1008	16128
7.85000205039978	16	3.5675478	9.241098	39.20199	-0.7116043	21.0	0.0	0.1698832	0.1698832	0.1698832	0.1698832	1008	17136
8.199058055877686	17	5.630115	13.105581	59.12209	-0.87625766	21.0	0.0	0.26810074	0.26810074	0.26810074	0.26810074	1008	18144
