Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	Log Likelihood Mean	Log Likelihood Std	KL Divergence Mean	KL Divergence Std	Negative ELBo	TimestepsThisBatch	TimestepsSoFar
12.727632761001587	0	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	1.2188722e-05	1.2188722e-05	-0.69067883	0.043886915	0.0032099828	0.0011745455	0.6909998	30049	30049
27.402726888656616	1	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-2.054698e-06	-2.054698e-06	-0.69144523	0.039959826	0.0017939934	0.0006357763	0.69162464	30049	60098
39.1121768951416	2	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	9.655986e-06	9.655986e-06	-0.694018	0.025525002	0.001251819	0.0004921801	0.69414324	30049	90147
50.405864000320435	3	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	6.538765e-06	6.538765e-06	-0.69469845	0.039672043	0.0026120865	0.0027799618	0.69495976	30049	120196
61.80177903175354	4	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-2.4242305e-05	-2.4242305e-05	-0.695423	0.038570352	0.006095985	0.008603043	0.69603264	30049	150245
73.05083894729614	5	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-6.534849e-06	-6.534849e-06	-0.6926738	0.0066851657	0.00011457437	8.851628e-05	0.69268525	30049	180294
84.62479305267334	6	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-1.3356244e-05	-1.3356244e-05	-0.6909319	0.017448582	0.0023120078	0.0027614215	0.6911631	30049	210343
95.84879302978516	7	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	-1.2991894e-05	-1.2991894e-05	-0.6915263	0.049098205	0.017091863	0.017353663	0.6932354	30049	240392
107.05173802375793	8	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	7.372639e-05	7.372639e-05	-0.69541085	0.120484315	0.08288479	0.07710389	0.7036993	30049	270441
118.29300880432129	9	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	4.971958e-05	4.971958e-05	-0.6368779	0.19182067	0.22831707	0.2551705	0.6597097	30049	300490
129.60656785964966	10	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00010812202	0.00010812202	-0.66911244	0.21172424	0.1035866	0.11603568	0.67947114	30049	330539
140.85764813423157	11	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00010776763	0.00010776763	-0.67778385	0.16706666	0.1293053	0.15445858	0.6907144	30049	360588
152.0529751777649	12	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	7.4472036e-06	7.4472036e-06	-0.6790931	0.11770993	0.13050333	0.15672152	0.69214344	30049	390637
163.38832092285156	13	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	7.415672e-06	7.415672e-06	-0.6931133	0.16576831	0.090923384	0.101015516	0.70220566	30049	420686
174.74875807762146	14	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	5.80035e-05	5.80035e-05	-0.6897452	0.17697084	0.15547201	0.20281115	0.70529234	30049	450735
186.11956310272217	15	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	5.3677995e-05	5.3677995e-05	-0.67406	0.24382034	0.2480514	0.20278795	0.6988652	30049	480784
197.31123614311218	16	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00011986086	0.00011986086	-0.6515342	0.30406228	0.26074	0.26387042	0.67760825	30049	510833
208.75398087501526	17	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	9.154479e-05	9.154479e-05	-0.667806	0.26912794	0.3256355	0.38459417	0.70036954	30049	540882
220.08873796463013	18	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0002595404	0.0002595404	-0.6193294	0.32847592	0.4529751	0.36170864	0.6646269	30049	570931
231.68414211273193	19	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00020636104	0.00020636104	-0.6486349	0.44816798	0.5046687	0.41363877	0.6991018	30049	600980
242.99126601219177	20	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00028211574	0.00028211574	-0.5934786	0.36595	0.502709	0.30370042	0.6437495	30049	631029
254.30465602874756	21	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00027335508	0.00027335508	-0.57176626	0.3900749	0.5885789	0.42867273	0.63062406	30049	661078
265.5287621021271	22	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00029351845	0.00029351845	-0.5993091	0.31817642	0.5221752	0.39164194	0.6515266	30049	691127
276.83603405952454	23	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.000345282	0.000345282	-0.5776748	0.393081	0.5157651	0.3829278	0.62925136	30049	721176
288.3938009738922	24	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0003690903	0.0003690903	-0.5572332	0.32867756	0.5932624	0.33799055	0.61655945	30049	751225
299.7858769893646	25	0.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.00043314777	0.00043314777	-0.6328119	0.534306	0.6597141	0.3849291	0.69878334	30049	781274
311.0588390827179	26	0.0050251256	0.070709795	1.0	0.0	151.0	0.0	3.327898e-05	3.327898e-05	0.00070225063	0.00070225063	-0.5856793	0.51379764	0.7133469	0.3268389	0.657014	30049	811323
