Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	Unmodified Rewards Mean	Unmodified Rewards Std	Modified Rewards Mean	Modified Rewards Std	TimestepsThisBatch	TimestepsSoFar
2.4695680141448975	0	-0.42860222	0.087410815	-0.25177664	-0.6315052	21.0	0.0	-0.020409627	-0.020409627	-0.016886545	-0.016886545	1008	1008
3.456376075744629	1	-0.4064943	0.08661799	-0.22330615	-0.6892954	21.0	0.0	-0.019356871	-0.019356871	-0.015439609	-0.015439609	1008	2016
4.016669988632202	2	-0.4253755	0.09738081	-0.18890004	-0.6962786	21.0	0.0	-0.020255974	-0.020255974	-0.015201704	-0.015201704	1008	3024
4.53146505355835	3	-0.42584977	0.081681244	-0.24564846	-0.62475204	21.0	0.0	-0.020278558	-0.020278558	-0.015511812	-0.015511812	1008	4032
5.111548900604248	4	-0.42483974	0.08550589	-0.2623824	-0.6378678	21.0	0.0	-0.020230463	-0.020230463	-0.0149602415	-0.0149602415	1008	5040
5.762714862823486	5	-0.39929497	0.069429696	-0.29016066	-0.57244205	21.0	0.0	-0.019014047	-0.019014047	-0.012020669	-0.012020669	1008	6048
6.4794371128082275	6	-0.41765973	0.10023479	-0.18220028	-0.6593231	21.0	0.0	-0.019888557	-0.019888557	-0.013790663	-0.013790663	1008	7056
7.279262065887451	7	-0.4099665	0.095630676	-0.19193336	-0.6420183	21.0	0.0	-0.019522214	-0.019522214	-0.011510235	-0.011510235	1008	8064
8.194318056106567	8	-0.4380114	0.12022517	-0.25018793	-0.79504216	21.0	0.0	-0.020857686	-0.020857686	-0.011435079	-0.011435079	1008	9072
9.224694013595581	9	-0.45437336	0.106312014	-0.2190023	-0.74716073	21.0	0.0	-0.021636827	-0.021636827	-0.010828864	-0.010828864	1008	10080
10.326553106307983	10	-0.44127142	0.10526927	-0.27290952	-0.7565768	21.0	0.0	-0.021012926	-0.021012926	-0.009492681	-0.009492681	1008	11088
11.425423860549927	11	-0.4551742	0.10463867	-0.29963785	-0.7146618	21.0	0.0	-0.021674963	-0.021674963	-0.010365261	-0.010365261	1008	12096
12.614705085754395	12	-0.45562768	0.10096006	-0.28640544	-0.79204494	21.0	0.0	-0.021696556	-0.021696556	-0.010319431	-0.010319431	1008	13104
13.873258113861084	13	-0.5260947	0.11177879	-0.2663249	-0.7737296	21.0	0.0	-0.025052126	-0.025052126	-0.011002249	-0.011002249	1008	14112
15.195886135101318	14	0.9586393	5.7306046	29.326042	-0.7797327	21.0	0.0	0.045649484	0.045649484	0.059051022	0.059051022	1008	15120
16.71115016937256	15	-0.5256085	0.11492647	-0.23437242	-0.80563897	21.0	0.0	-0.025028976	-0.025028976	-0.011444756	-0.011444756	1008	16128
18.613667249679565	16	2.1454992	7.775983	29.269428	-0.769149	21.0	0.0	0.102166645	0.102166645	0.11736355	0.11736355	1008	17136
20.49489426612854	17	2.7673264	8.93388	39.407894	-0.8063333	21.0	0.0	0.13177747	0.13177747	0.14660545	0.14660545	1008	18144
22.69003915786743	18	7.7024803	12.883198	49.10252	-0.7550042	21.0	0.0	0.36678478	0.36678478	0.38341466	0.38341466	1008	19152
24.833463191986084	19	6.06575	12.378677	49.306934	-0.8124102	21.0	0.0	0.28884524	0.28884524	0.3050329	0.3050329	1008	20160
27.07567000389099	20	9.815532	16.012287	59.15632	-0.73818463	21.0	0.0	0.46740624	0.46740624	0.4833039	0.4833039	1008	21168
29.195277214050293	21	14.322823	17.711824	69.16803	-0.83079374	21.0	0.0	0.6820392	0.6820392	0.6991063	0.6991063	1008	22176
31.370091199874878	22	23.681772	23.943367	79.06754	-0.8242465	21.0	0.0	1.1277034	1.1277034	1.1449066	1.1449066	1008	23184
33.58538603782654	23	24.86732	21.327154	69.27294	-0.90814734	21.0	0.0	1.1841581	1.1841581	1.2021035	1.2021035	1008	24192
36.06140613555908	24	28.183756	22.822744	69.11276	-0.7351737	21.0	0.0	1.3420837	1.3420837	1.3592898	1.3592898	1008	25200
38.49052596092224	25	30.230413	24.571697	79.01908	-0.8311743	21.0	0.0	1.4395435	1.4395435	1.4571143	1.4571143	1008	26208
41.077123165130615	26	36.86113	24.051798	88.97927	-0.91168666	21.0	0.0	1.7552922	1.7552922	1.7729706	1.7729706	1008	27216
43.77254891395569	27	46.78316	27.177958	98.73149	-0.76954377	21.0	0.0	2.2277696	2.2277696	2.2457266	2.2457266	1008	28224
46.655569076538086	28	43.89348	22.63595	79.07393	-0.75263196	21.0	0.0	2.0901654	2.0901654	2.1075847	2.1075847	1008	29232
49.562873125076294	29	54.204693	27.677923	98.8271	-0.71470636	21.0	0.0	2.5811758	2.5811758	2.5989897	2.5989897	1008	30240
52.744800090789795	30	52.95528	26.371847	99.07367	-0.9981232	21.0	0.0	2.52168	2.52168	2.5390227	2.5390227	1008	31248
55.973905086517334	31	66.20072	24.921421	118.78531	-0.7913733	21.0	0.0	3.1524155	3.1524155	3.169589	3.169589	1008	32256
59.1189329624176	32	66.5827	20.947008	108.69081	18.934105	21.0	0.0	3.170605	3.170605	3.1878107	3.1878107	1008	33264
62.31986904144287	33	68.65974	19.535275	118.88623	18.798038	21.0	0.0	3.2695112	3.2695112	3.2862709	3.2862709	1008	34272
65.6949610710144	34	69.238884	21.154366	108.295	19.03315	21.0	0.0	3.2970896	3.2970896	3.3134656	3.3134656	1008	35280
69.04409098625183	35	75.19428	22.821898	118.754105	9.003969	21.0	0.0	3.58068	3.58068	3.5971978	3.5971978	1008	36288
72.56926393508911	36	75.17637	24.161043	118.38684	9.095946	21.0	0.0	3.5798273	3.5798273	3.596219	3.596219	1008	37296
76.24722599983215	37	77.66848	22.5039	118.6648	19.324972	21.0	0.0	3.698499	3.698499	3.7147405	3.7147405	1008	38304
79.97627019882202	38	85.935	17.649363	118.63774	38.964947	21.0	0.0	4.092142	4.092142	4.1082473	4.1082473	1008	39312
83.95084285736084	39	81.85052	16.37249	118.58308	39.056496	21.0	0.0	3.8976436	3.8976436	3.9134855	3.9134855	1008	40320
88.15227818489075	40	81.173485	21.463133	128.52325	28.781788	21.0	0.0	3.8654044	3.8654044	3.8815017	3.8815017	1008	41328
93.82775807380676	41	83.59028	23.14877	118.36931	-0.8351674	21.0	0.0	3.9804895	3.9804895	3.9963462	3.9963462	1008	42336
99.45797204971313	42	83.62881	21.453617	128.26218	-0.84080106	21.0	0.0	3.9823241	3.9823241	3.9979796	3.9979796	1008	43344
104.98687219619751	43	86.9266	16.830091	118.47597	48.627853	21.0	0.0	4.139362	4.139362	4.154937	4.154937	1008	44352
116.45868921279907	44	82.980225	21.026548	118.38437	38.83504	21.0	0.0	3.9514391	3.9514391	3.9668562	3.9668562	1008	45360
123.04737901687622	45	80.34008	17.08273	118.611664	48.875763	21.0	0.0	3.825718	3.825718	3.8408146	3.8408146	1008	46368
129.8805911540985	46	85.84683	16.934685	108.57761	38.57438	21.0	0.0	4.0879445	4.0879445	4.1031785	4.1031785	1008	47376
136.84838199615479	47	89.140564	21.972223	128.43698	28.954758	21.0	0.0	4.2447886	4.2447886	4.2600603	4.2600603	1008	48384
142.58014392852783	48	90.20577	16.483217	118.4254	58.725357	21.0	0.0	4.2955127	4.2955127	4.310528	4.310528	1008	49392
149.11803603172302	49	89.772675	18.609056	127.842545	28.630337	21.0	0.0	4.2748895	4.2748895	4.2898645	4.2898645	1008	50400
155.09209609031677	50	89.09473	16.210348	127.90686	58.60125	21.0	0.0	4.242606	4.242606	4.257357	4.257357	1008	51408
161.43182015419006	51	86.453636	18.276665	127.920715	38.994774	21.0	0.0	4.1168404	4.1168404	4.131393	4.131393	1008	52416
169.29777216911316	52	85.62597	19.314106	118.39389	48.79225	21.0	0.0	4.0774274	4.0774274	4.09224	4.09224	1008	53424
177.826669216156	53	94.107185	13.714889	128.58905	68.3751	21.0	0.0	4.481295	4.481295	4.495859	4.495859	1008	54432
185.40569400787354	54	91.98405	16.741737	118.28148	28.875319	21.0	0.0	4.3801928	4.3801928	4.394738	4.394738	1008	55440
192.85224509239197	55	94.23637	16.434946	128.00441	48.8613	21.0	0.0	4.4874463	4.4874463	4.5018134	4.5018134	1008	56448
200.31120419502258	56	89.30886	17.608158	137.63545	38.845924	21.0	0.0	4.252803	4.252803	4.2671847	4.2671847	1008	57456
207.9327518939972	57	93.1666	15.899881	118.49121	48.766857	21.0	0.0	4.436505	4.436505	4.450677	4.450677	1008	58464
215.82309103012085	58	100.0485	13.465183	128.05867	68.57352	21.0	0.0	4.7642145	4.7642145	4.778309	4.778309	1008	59472
223.53806805610657	59	94.6354	17.616518	128.16663	38.973457	21.0	0.0	4.5064473	4.5064473	4.5206156	4.5206156	1008	60480
233.91609597206116	60	95.84464	18.614573	127.80534	18.921597	21.0	0.0	4.5640306	4.5640306	4.578138	4.578138	1008	61488
242.12188005447388	61	96.91221	14.286348	128.51868	58.59921	21.0	0.0	4.614867	4.614867	4.6287684	4.6287684	1008	62496
256.59915709495544	62	96.6867	17.667015	118.50807	48.986538	21.0	0.0	4.604129	4.604129	4.6181335	4.6181335	1008	63504
265.7650351524353	63	97.51728	14.860728	128.28615	68.55758	21.0	0.0	4.6436796	4.6436796	4.6576104	4.6576104	1008	64512
274.68970823287964	64	99.58679	14.349568	128.17436	68.598785	21.0	0.0	4.7422276	4.7422276	4.755962	4.755962	1008	65520
284.07844519615173	65	96.68937	15.564698	128.16309	68.66028	21.0	0.0	4.6042557	4.6042557	4.618071	4.618071	1008	66528
292.7267310619354	66	96.648926	20.59968	128.3585	38.688805	21.0	0.0	4.6023297	4.6023297	4.616071	4.616071	1008	67536
300.74196314811707	67	98.32349	16.437962	138.11629	58.69878	21.0	0.0	4.6820707	4.6820707	4.695663	4.695663	1008	68544
308.85554909706116	68	99.166405	16.293154	128.22862	48.560787	21.0	0.0	4.722209	4.722209	4.7357287	4.7357287	1008	69552
318.44624423980713	69	98.079185	21.368961	137.60019	28.5401	21.0	0.0	4.6704373	4.6704373	4.6840916	4.6840916	1008	70560
327.6908390522003	70	96.00736	15.183059	128.09003	48.669937	21.0	0.0	4.5717793	4.5717793	4.5854006	4.5854006	1008	71568
336.7283561229706	71	103.61306	19.072536	138.30002	28.810162	21.0	0.0	4.933955	4.933955	4.9474864	4.9474864	1008	72576
346.1280152797699	72	101.370674	16.547396	128.41725	58.408314	21.0	0.0	4.8271756	4.8271756	4.8406663	4.8406663	1008	73584
356.3767931461334	73	101.73171	16.07549	137.77113	48.834625	21.0	0.0	4.844367	4.844367	4.8577695	4.8577695	1008	74592
365.108029127121	74	102.97327	14.595739	128.33057	68.5282	21.0	0.0	4.903489	4.903489	4.9168344	4.9168344	1008	75600
